,projects
0,Vireo
1,testbed-runtime
2,sparta
3,ngdb.com
4,fbs
5,cta-otp
6,SkWorkShop
7,BioInvIndex
8,bloatit
9,fan
10,cebu-taxi
11,konekti
12,cmop
13,aperte-workflow-core
14,dropwizard
15,niths
16,CIS2
17,Bachelor-HSRM-Medieninformatik
18,socialpm
19,play1
20,scoutmaster
21,swag4911
22,mifos-head
23,sculptor
24,voms-admin-server
25,musicbrainz-data
26,corner2
27,BatooJPA
28,jpa-cloner
29,AppTemplatePublic
30,ChuckanutBayFoodsInternal
31,lightmare
32,vme
33,magnificent-mileage
34,BeerShop
35,CMSC-198-IAPPSAM-System
36,opennaas-routing-nfv
37,Lemo-Data-Management-Server
38,dcm4chee-arc-jboss6
39,greenDAO
40,jgnash
41,geonetwork-eea
42,sshapp
43,1.5.x
44,DAP-System
45,plato
46,SOEMPI
47,arquillian-showcase
48,patientview
49,HAW_SS13_AI
50,cococare-j
51,anwesenheit
52,dvn
53,giavacms
54,jadira
55,OpenXavaEx
56,jpaQuery
57,Sigme
58,pipeline-framework
59,HealthOffice
60,capdemat
61,dcm4chee-arc
62,sigest
63,riftsaw-ode
64,Ulysse
65,vladmihalcea.wordpress.com
66,aerogear-aerodoc-backend
67,ListaExercicio
68,tcc-web
69,legislativo-api-java
70,picketlink
71,onebusaway-nyc
72,hector-jpa
73,MRIdb
74,OnlineTeach
75,Alt_F4
76,fundalara
77,Hibernate-Made-Easy
78,psc-mirror
79,promcio
80,tita
81,muikku
82,gluster-ovirt
83,sysacademico
84,sneo
85,masters
86,labviewer
87,Scorecard
88,vhdllab
89,openhds-server
90,ikube
91,STARDOM
92,time4u
93,SOCIETIES-Platform
94,Bingo
95,integra
96,BancoDeQuestoes
97,SOCIETIES-SCE-Services
98,contrib
99,APDPlat
100,apiman
101,bc-framework
102,oozie
103,richfaces
104,opensms
105,jSQLtuner
106,GeoRedTSI2
107,KROKI-mockup-tool
108,pa
109,testkata
110,corelib
111,JerseyTest
112,openengsb
113,testbed
114,books
115,CompANNEX
116,crm_jboss_seam3
117,pyramus
118,SAN
119,slyak
120,chouette
121,morphium
122,appfuse
123,mdissphoto
124,webofneeds
125,activiti
126,ode
127,surveyforge
128,ProjetoIntegrador2012
129,TESIS
130,orcamento
131,Empire
132,jenkow-plugin
133,SSP
134,emsiweb
135,IRISv2
136,evaluationserver
137,SEPM-SS12-Project
138,Silverpeas-Core
139,eurekastreams
140,enzymeportal
141,Regimo
142,core-geonetwork
143,edu-cube
144,asquare
145,SWEN301-Project
146,performance-comparison-java-web-frameworks
147,yamj-v3
148,Silverpeas-Components
149,Mecasoft
150,claudia
151,libmythtv-java
152,keta-custom
153,candlepin
154,ObjectG
155,xCommerce
156,XFlow
157,ewcms
158,psychic-batman
159,haflow
160,activejpa
161,dejava
162,JPuppy
163,posserver
164,docs
165,jcertif-backend-2012
166,Offene-Pflege.de
167,mobicents
168,inventory
169,jrecruiter
170,powertac-tournament-scheduler
171,FrameworkBenchmarks
172,tx-parent
173,kune
174,7b6581PT
175,openalexis
176,RivieraDEV
177,heroku-playframework
178,Doctors
179,OurGrid
180,yobi
181,cas
182,objectify
183,biller-simulator
184,seqware
185,mateo
186,AdvertManager
187,eeg2
188,PerfModDash
189,camunda-bpm-platform
190,med
191,Kundera
192,openxava
193,rtgov
194,EventTeller
195,messic
196,PicStory
197,pg-inet-maven
198,mydlp-ui
199,CSLD
200,ovirt-engine
201,TDA
202,jipijapa
203,es
204,joyreactor
205,javaee7-developer-handbook
206,velo1
207,rave
208,odata4j
209,neighborhoodPSS
210,GeniusWiki
211,BusinessManager
212,EngSoft2011_Grupo1
213,ProvToolbox
214,Projeto-Coruja
215,SongPop
216,riot
217,metka
218,GWLP-R
219,seam-2.2
220,morphia
221,jpa-cert
222,VAMDC-Portal
223,lua
224,EveNexus
225,betty
226,archetypes
227,os_cpr
228,osce
229,XY.JCms
230,jforum3
231,jersey-1.x
232,databus
233,RMT
234,dcm4chee-xds
235,Capturador
236,mifosx
237,agoncal-book-javaee7
238,simple-pos
239,The-SAFA-Project
240,opennaas
241,swag
242,EAPLI_PL_2DK
243,billrive
244,oztrack
245,Project-0
246,cilla
247,mycellar
248,geonetwork
249,psp
250,tangram
251,play-forked
252,myGrades
253,minoas
254,TINT
255,SensorAct
256,opb
257,streamreduce-core
258,java-sdk
259,SwiftRiver-API
260,stdlib
261,Musicbox_server
262,MySocio
263,korok
264,simpleds
265,Project-JavaEE
266,linkit
267,jshoper3x
268,oceano
269,Fap-Module
270,edelphi
271,WebOrganizer-Draft
272,CloudPaster
273,segana
